window,rmse,mape,mae,r2,smape,nrmse,variable
12744,464.791,46.454,348.003,0.863,16.259,0.091,CO(t)
12744,6.452,82.073,4.446,0.9,20.813,0.106,O3(t)
12744,2.568,inf,2.079,0.569,50.135,0.127,TEMP(t)
12744,3.342,0.257,2.636,0.627,0.129,0.139,PRES(t)
12744,3.135,inf,2.443,0.868,12.842,0.102,DEWP(t)
12744,0.037,inf,0.003,-0.005,100.0,0.062,RAIN(t)
12744,1.071,inf,0.708,0.555,19.911,0.141,WSPM(t)
13806,15.402,47.235,10.687,0.907,16.305,0.073,PM2.5(t)
13806,22.19,41.927,14.885,0.843,16.166,0.09,PM10(t)
13806,8.958,34.657,6.106,0.849,13.986,0.07,SO2(t)
13806,13.729,36.433,10.303,0.867,15.486,0.092,NO2(t)
13806,350.428,21.696,226.839,0.886,10.003,0.064,CO(t)
13806,13.853,54.925,10.124,0.776,25.123,0.131,O3(t)
13806,1.567,inf,1.166,0.87,30.261,0.078,TEMP(t)
13806,2.634,0.203,2.089,0.72,0.102,0.105,PRES(t)
13806,1.44,7.272,0.986,0.904,3.519,0.067,DEWP(t)
13806,0.0,inf,0.0,0.0,100.0,,RAIN(t)
13806,0.886,inf,0.661,0.438,20.274,0.143,WSPM(t)
14868,22.016,27.306,15.119,0.914,10.767,0.068,PM2.5(t)
14868,50.094,23.718,36.775,0.693,13.32,0.135,PM10(t)
14868,6.627,58.188,5.004,0.855,17.562,0.077,SO2(t)
14868,12.278,18.527,8.987,0.872,8.769,0.097,NO2(t)
14868,339.132,21.642,223.281,0.84,9.817,0.109,CO(t)
14868,11.229,62.751,8.392,0.907,16.459,0.083,O3(t)
14868,1.875,inf,1.474,0.851,11.329,0.094,TEMP(t)
14868,1.822,0.14,1.432,0.924,0.07,0.073,PRES(t)
14868,2.174,40.705,1.588,0.901,13.751,0.074,DEWP(t)
14868,0.002,inf,0.002,0.0,100.0,inf,RAIN(t)
14868,0.703,inf,0.563,0.614,16.609,0.135,WSPM(t)
15930,15.298,42.767,9.698,0.65,15.217,0.086,PM2.5(t)
15930,35.572,46.593,23.841,0.641,16.696,0.103,PM10(t)
15930,2.472,35.366,1.591,0.75,14.798,0.112,SO2(t)
