dim,fs,window,rmse,mape,smape,mae,nrmse,rules
3,10,12483,14.899,9.681,4.586,8.427,0.043,1260
3,10,13140,8.892,6.267,2.812,5.154,0.012,958
3,10,13797,18.623,22.212,8.489,12.571,0.036,1130
3,10,14454,28.031,19.154,6.752,11.699,0.311,1143
3,10,15111,6.246,6.217,2.589,6.884,0.008,1220
3,10,15768,12.788,10.126,4.263,6.504,0.029,981
3,10,16425,12.21,8.178,3.174,4.41,0.033,1216
3,10,17082,10.146,2.988,1.468,16.149,0.016,884
3,10,17739,22.557,26.085,9.776,14.043,0.063,941
3,10,18396,59.253,41.474,12.142,31.955,0.132,939
3,10,19053,18.76,17.87,7.075,11.199,0.023,839
3,20,0,2.163,0.34,0.174,0.272,0.005,2847
3,20,657,8.241,5.757,2.345,2.455,0.01,2348
3,20,1314,1.559,0.427,0.223,0.34,0.002,1969
3,20,1971,0.703,0.613,0.299,0.195,0.007,2433
3,20,2628,3.417,0.853,0.383,0.601,0.006,2514
3,20,3285,2.245,1.07,0.525,0.561,0.005,2404
3,20,3942,2.151,1.526,0.752,0.79,0.003,2594
3,20,4599,14.345,6.046,2.064,3.449,0.021,2803
3,20,5256,9.741,6.621,2.631,3.441,0.02,2978
3,20,5913,4.827,2.07,0.937,12.918,0.006,3023
3,20,6570,3.157,2.494,1.201,1.162,0.006,3174
3,20,7227,2.463,0.983,0.435,0.474,0.004,2579
3,20,7884,1.367,0.344,0.167,0.206,0.002,2699
3,20,8541,3.392,1.929,0.915,0.969,0.005,2507
3,20,9198,5.467,2.965,1.351,1.715,0.008,2576
3,20,9855,1.103,0.544,0.262,0.29,0.006,2725
3,20,10512,1.784,1.123,0.571,0.646,0.003,2574
3,20,11169,3.532,2.447,1.102,1.137,0.059,2488
3,20,11826,2.321,1.019,0.504,0.671,0.005,2343
3,20,12483,8.503,3.439,1.962,2.686,0.024,2852
3,20,13140,4.235,1.322,0.586,0.874,0.006,2449
3,20,13797,5.13,5.04,2.479,2.587,0.01,2493
3,20,14454,3.236,1.556,0.756,1.114,0.036,2588
3,20,15111,1.373,0.633,0.297,4.422,0.002,2674
3,20,15768,3.299,1.301,0.663,1.004,0.007,2328
3,20,16425,3.594,1.191,0.496,0.608,0.01,2605
3,20,17082,0.942,0.064,0.032,11.736,0.002,2181
3,20,17739,6.254,3.809,1.71,2.219,0.017,2079
3,20,18396,8.03,4.137,1.869,3.185,0.018,2357
3,20,19053,4.94,3.304,1.509,2.016,0.006,1960
3,30,0,1.557,0.207,0.105,0.181,0.003,3920
3,30,657,9.035,2.136,0.905,1.352,0.011,3364
3,30,1314,1.279,0.256,0.136,0.192,0.002,3052
3,30,1971,0.047,0.022,0.011,0.006,0.0,3258
3,30,2628,2.494,0.532,0.237,0.358,0.004,3544
3,30,3285,0.263,0.018,0.009,0.024,0.001,3400
3,30,3942,0.984,0.483,0.241,0.279,0.001,3704
3,30,4599,11.542,2.104,0.748,1.678,0.017,3790
3,30,5256,3.567,1.398,0.607,0.792,0.007,3982
3,30,5913,0.949,0.622,0.24,11.684,0.001,4001
3,30,6570,2.595,1.303,0.623,0.66,0.005,4156
3,30,7227,0.095,0.03,0.015,0.014,0.0,3766
3,30,7884,1.387,0.231,0.099,0.117,0.002,3802
3,30,8541,0.604,0.311,0.154,0.169,0.001,3594
3,30,9198,0.451,0.173,0.086,0.102,0.001,3549
3,30,9855,0.897,0.268,0.126,0.131,0.005,3732
3,30,10512,0.601,0.291,0.146,0.184,0.001,3594
3,30,11169,0.479,0.201,0.098,0.093,0.008,3971
