,dim,fs,window,rmse,nrmse,mape,smape,mae
126,2,50,3942,5.914533052524451,0.008102100071951304,1.2675822515730841,0.5867176793388362,1.5888261738178053
127,2,50,4599,4.535034555103974,0.006768708291199961,3.9643376002564774,1.8013341953302415,2.036733516815114
128,2,50,5256,8.613443336467826e-15,1.757845578870985e-17,4.1929120837687034e-15,2.0964560418843517e-15,3.4227363490882874e-15
129,2,50,5913,0.7262858928278317,0.0009556393326681996,0.5356336316723052,0.19568354133168495,17.033620828289877
130,2,50,6570,0.08057735860735872,0.00014650428837701586,0.00925612130319791,0.004653297309952965,0.007564872962553779
131,2,50,7227,6.3989489108822095,0.010845676120139338,3.5344448995568376,1.490989756828412,1.862262351758695
132,2,50,7884,3.016936412757664,0.004436671195231859,0.8104914374135205,0.3727260224233278,0.6081730870678074
133,2,50,8541,5.287711116445477,0.00766334944412388,2.47821513805259,1.1786741144528956,1.518580243421369
134,2,50,9198,1.64397960628481,0.0024537009049027014,1.4064573837143728,0.7305319371758038,0.6359391919341177
135,2,50,9855,0.0,0.0,0.0,0.0,0.0
136,2,50,10512,14.819617786865692,0.02352320283629475,4.604639676307327,1.7308744012079962,3.079336928859144
137,2,50,11169,2.6706796744681887,0.04451132790780314,2.5845099537315224,1.3025054775372014,1.2676937457034856
138,2,50,11826,3.741144612721412,0.008502601392548664,0.7691668504585002,0.348882406371646,0.6796905229267626
139,2,50,12483,2.394845638114099,0.006842416108897425,0.8874481198574615,0.434771033945394,0.7629065112991191
140,2,50,13140,4.120487738839602,0.005421694393210002,3.8936395464981954,1.8565112632821896,2.1447772029133345
141,2,50,13797,1.4725382501386741,0.0028318043271897578,0.5680605339260337,0.2737167778354542,0.37287575004091306
142,2,50,14454,4.413628240859762,0.04904031378733068,2.716503744488539,1.32104267070848,1.863842815047043
143,2,50,15111,0.1085132709522739,0.0001427806196740446,0.01559717733637685,0.007818486604939046,4.162630391441232
144,2,50,15768,6.20330716367315e-16,1.4098425371984431e-18,3.9715295189843e-16,1.98576475949215e-16,1.0831444142684454e-16
145,2,50,16425,4.187318723048878,0.011317077629861833,2.3109394581076503,1.1031689638656295,1.5205550705720958
146,2,50,17082,0.41978029001102524,0.0006770649838887504,0.11500898570546755,0.05814801008760051,11.699204502961773
147,2,50,17739,0.5466081666101212,0.0015183560183614478,0.21341463414634643,0.09081473793461588,0.042682926829271065
148,2,50,18396,2.3913718394164767,0.005314159643147726,1.644757148893964,0.7961769809799325,0.9368908180652376
149,2,50,19053,3.495903704905195,0.004315930499882957,1.1891180066966733,0.6370793310323722,1.0287542801054816
150,3,10,0,5.617825046222725,0.011703802179630678,5.285736413848014,2.411872070244122,3.2457147450166204
151,3,10,657,16.218660682699436,0.020023037879875846,26.451330732884397,9.952451548013098,12.366998603207255
