dim,fs,window,rmse,mape,smape,mae,nrmse,rules
4,20,35259,0.032,2.113,0.962,0.01,0.005,15513
4,20,36938,0.018,0.825,0.403,0.025,0.002,12901
4,20,38617,0.019,1.409,0.672,0.005,0.007,17309
4,20,40296,0.032,1.925,0.842,0.019,0.006,12247
4,20,41975,0.054,4.924,1.62,0.014,0.013,15233
4,20,43654,0.086,2.372,0.937,0.016,0.032,13014
4,20,45333,0.047,4.539,1.879,0.017,0.015,15051
4,20,47012,0.038,2.159,0.509,0.007,0.013,15003
4,20,48691,0.044,1.384,0.651,0.01,0.013,19320
4,30,0,0.009,0.233,0.111,0.002,0.002,24957
4,30,1679,0.001,0.028,0.014,0.0,0.0,23618
4,30,3358,0.011,0.301,0.139,0.001,0.004,23738
4,30,5037,0.006,0.106,0.054,0.001,0.001,24191
4,30,6716,0.028,1.225,0.545,0.006,0.008,22200
4,30,8395,0.025,1.733,0.744,0.006,0.009,19526
4,30,10074,0.0,0.032,0.016,0.0,0.0,21616
4,30,11753,0.012,0.283,0.142,0.002,0.003,24971
4,30,13432,0.04,1.138,0.496,0.006,0.009,27183
4,30,15111,0.004,0.097,0.047,0.013,0.001,19472
4,30,16790,0.032,1.525,0.62,0.006,0.005,17029
4,30,18469,0.008,0.165,0.084,0.001,0.001,15322
4,30,20148,0.0,0.396,0.134,0.0,0.0,18884
4,30,21827,0.003,1.026,0.32,0.0,0.001,20723
4,30,23506,0.019,0.165,0.089,0.001,0.005,20300
4,30,25185,0.004,0.21,0.101,0.001,0.001,19065
4,30,26864,0.013,0.191,0.095,0.002,0.001,21820
4,30,28543,0.004,0.307,0.14,0.001,0.0,20073
4,30,30222,0.014,0.382,0.178,0.002,0.002,18346
4,30,31901,0.03,20.101,1.062,0.005,0.003,22385
4,30,33580,0.099,2.77,0.771,0.012,0.017,18787
4,30,35259,0.008,0.44,0.218,0.002,0.001,21937
4,30,36938,0.006,0.114,0.057,0.021,0.001,17986
4,30,38617,0.005,0.335,0.164,0.001,0.002,23562
4,30,40296,0.01,0.201,0.093,0.012,0.002,17878
4,30,41975,0.01,0.64,0.314,0.002,0.002,20649
4,30,43654,0.006,0.198,0.095,0.001,0.002,18072
4,30,45333,0.013,0.709,0.332,0.003,0.004,20828
4,30,47012,0.012,1.615,0.255,0.001,0.004,20654
4,30,48691,0.01,0.207,0.102,0.001,0.003,27326
4,40,0,0.001,0.026,0.013,0.0,0.0,28915
4,40,1679,0.001,0.025,0.012,0.0,0.0,28974
4,40,3358,0.012,0.196,0.086,0.001,0.004,28354
4,40,5037,0.002,0.039,0.02,0.0,0.0,28821
4,40,6716,0.006,0.399,0.169,0.001,0.002,27139
4,40,8395,0.019,0.991,0.433,0.003,0.007,24999
4,40,10074,0.0,0.03,0.015,0.0,0.0,25774
4,40,11753,0.008,0.122,0.058,0.001,0.002,29239
4,40,13432,0.005,0.114,0.055,0.0,0.001,31253
4,40,15111,0.0,0.033,0.016,0.012,0.0,23150
4,40,16790,0.019,0.787,0.338,0.003,0.003,21319
4,40,18469,0.0,0.038,0.019,0.0,0.0,18133
4,40,20148,0.0,0.386,0.128,0.0,0.0,22000
4,40,21827,0.004,1.012,0.31,0.0,0.001,24578
4,40,23506,0.0,0.044,0.022,0.0,0.0,22801
4,40,25185,0.002,0.091,0.046,0.0,0.0,23158
4,40,26864,0.002,0.049,0.025,0.025,0.0,25219
4,40,28543,0.001,0.04,0.02,0.0,0.0,23121
4,40,30222,0.004,0.115,0.055,0.001,0.0,20828
4,40,31901,0.002,1.944,0.334,0.0,0.0,26908
4,40,33580,0.043,0.853,0.303,0.004,0.007,21669
4,40,35259,0.004,0.181,0.086,0.001,0.001,25453
4,40,36938,0.003,0.038,0.019,0.021,0.0,21561
4,40,38617,0.002,0.126,0.062,0.0,0.001,27602
4,40,40296,0.004,0.092,0.045,0.011,0.001,21604
4,40,41975,0.003,0.125,0.06,0.0,0.001,24162
4,40,43654,0.012,0.205,0.095,0.001,0.004,21464
4,40,45333,0.011,0.416,0.19,0.002,0.003,24468
4,40,47012,0.008,1.531,0.214,0.001,0.003,24576
4,40,48691,0.008,0.105,0.055,0.001,0.002,31215
4,50,0,0.0,0.017,0.009,0.0,0.0,31860
4,50,1679,0.0,0.022,0.011,0.0,0.0,32329
4,50,3358,0.0,0.035,0.017,0.0,0.0,31700
4,50,5037,0.002,0.024,0.012,0.0,0.0,31861
4,50,6716,0.004,0.32,0.13,0.001,0.001,30577
4,50,8395,0.007,0.442,0.213,0.001,0.002,28756
4,50,10074,0.0,0.03,0.015,0.0,0.0,29118
4,50,11753,0.002,0.038,0.019,0.0,0.001,31603
4,50,13432,0.0,0.046,0.023,0.0,0.0,33193
4,50,15111,0.0,0.036,0.018,0.012,0.0,25894
4,50,16790,0.015,0.535,0.24,0.002,0.002,23771
4,50,18469,0.0,0.033,0.016,0.0,0.0,21475
4,50,20148,0.0,0.379,0.125,0.0,0.0,24987
4,50,21827,0.0,0.939,0.277,0.0,0.0,27261
4,50,23506,0.001,0.051,0.026,0.0,0.0,25665
4,50,25185,0.001,0.053,0.026,0.0,0.0,25980
4,50,26864,0.001,0.028,0.014,0.025,0.0,27559
4,50,28543,0.0,0.029,0.015,0.0,0.0,25170
4,50,30222,0.0,0.027,0.013,0.0,0.0,22945
4,50,31901,0.0,1.909,0.318,0.0,0.0,29391
4,50,33580,0.03,0.627,0.239,0.003,0.005,25188
4,50,35259,0.003,0.078,0.039,0.0,0.0,27981
4,50,36938,0.002,0.035,0.018,0.021,0.0,24192
4,50,38617,0.004,0.141,0.068,0.001,0.001,29081
4,50,40296,0.002,0.046,0.023,0.011,0.0,24809
4,50,41975,0.001,0.039,0.019,0.0,0.0,26353
4,50,43654,0.0,0.037,0.019,0.0,0.0,23814
4,50,45333,0.005,0.148,0.07,0.001,0.002,26680
4,50,47012,0.015,1.571,0.23,0.001,0.005,27135
4,50,48691,0.003,0.046,0.023,0.0,0.001,33347
5,10,0,0.089,5.523,2.537,0.032,0.021,20854
5,10,1679,0.023,0.943,0.472,0.007,0.005,20053
5,10,3358,0.065,4.611,1.92,0.019,0.023,18787
5,10,5037,0.119,5.005,2.36,0.05,0.024,18991
5,10,6716,0.074,7.913,3.228,0.038,0.02,17328
5,10,8395,0.079,14.73,4.854,0.038,0.03,15906
5,10,10074,0.053,3.478,1.882,0.019,0.012,18767
5,10,11753,0.141,8.721,3.167,0.043,0.041,20155
5,10,13432,0.163,89.835,8.876,0.07,0.037,19344
5,10,15111,0.036,3.4,1.654,0.028,0.006,17053
5,10,16790,0.072,7.566,3.277,0.033,0.01,14634
5,10,18469,0.062,9.634,3.616,0.027,0.01,12149
5,10,20148,0.017,2.906,1.121,0.004,0.007,17816
5,10,21827,0.047,20.086,2.871,0.018,0.019,18315
5,10,23506,0.035,10.597,2.572,0.012,0.01,18563
