dim,fs,window,rmse,nrmse,mape,smape,mae
2,40,10074,0.17368909109978195,0.03431516970847169,24.869130591050045,10.444060406039384,0.1358251862850195
2,40,11753,0.24011222077872194,0.04274119912668613,42.979822771820345,16.549511147248428,0.21865107173324208
2,40,13432,0.28149117472986407,0.06290305580555622,81.23443422469371,23.232528017293106,0.24695682410838737
2,40,15111,0.11961865712001371,0.019741984307902777,27.06491612247312,9.800118015329966,0.10841348534836322
2,40,16790,0.15194323178299562,0.025575937030703204,17.212684617954903,6.6497982250509,0.08579594927329134
2,40,18469,0.16783308542503242,0.06399410978013083,82.92198728738836,16.042249436020604,0.13463434942637006
2,40,20148,0.05468775347838826,0.015078997305683671,15.033600995673668,6.7766557898243835,0.04252428784448781
2,40,21827,0.11919995231142785,0.038955293664009814,103.64449089156192,15.707078331150404,0.09612755190329675
2,40,23506,0.12109450781526958,0.0496913502416187,204.0992696833479,14.43056461138906,0.08732177921317316
2,40,25185,0.07317950153970282,0.01272550506794245,21.122897363371408,6.245473147076231,0.06937860130199171
2,40,26864,0.15339132118229765,0.014344530208214698,40.268504574829905,9.468033404164222,0.10234691192536385
2,40,28543,0.4000916851534084,0.03591675372292259,641.073841098417,12.077239090334155,0.1485403730130835
2,40,30222,0.6384206573199231,0.0735797298019616,81.11131609864431,23.782718560894313,0.4687295566310958
2,40,31901,1.3889808719916517,0.12477706660851288,901.941748475984,47.75142296621532,1.1291553549412263
2,40,33580,0.3445271715088042,0.052082454337770784,66.83856896451094,20.36062853605221,0.251098312586787
2,40,35259,0.1571964503892982,0.022537448621384994,29.388887127729763,10.956105711259328,0.11885271049992027
2,40,36938,0.054838479570881685,0.011900840844818558,30.319292966291012,4.064450857584056,0.09190131815087536
2,40,38617,0.17892819269163462,0.06299696953477454,187.2592021871039,14.628098938375459,0.1288317415874043
2,40,40296,0.12234699365003848,0.020863906967034468,14.31612622246559,7.395782992583418,0.08762868161532394
2,40,41975,0.3375261539367788,0.06323457815243613,75.56651401328233,22.9319735094156,0.26529909109071187
2,40,43654,0.3426347219038436,0.15519282629941278,51.60509494685892,10.7330638628543,0.1383739903213847
2,40,45333,0.2689384196094418,0.07170512038079252,34.15564279535332,14.931568190412712,0.2060625907872801
2,40,47012,0.2576328460321037,0.08865447037599539,43.13804784152943,16.413837009071326,0.21860133000892595
2,40,48691,0.3765509863543108,0.10704516316799195,60.3785694924426,19.474896295389037,0.29503201678663044
2,50,0,0.26330199732638443,0.06539687729288922,24.83136146882164,10.498882263439546,0.18671925737503037
2,50,1679,0.28818656785004904,0.061312377475916224,34.96795669420472,12.349177073612589,0.22014108355325876
2,50,3358,0.18237576627502794,0.06609094740013358,33.41991039841969,12.556213833115109,0.1397653569733334
2,50,5037,0.3366002484125848,0.0704801444345445,15.10614544583319,8.563479785184919,0.20234691516001466
2,50,6716,0.26099284055106914,0.051219423458273905,35.249464275403334,12.494360475402281,0.18090030942106666
2,50,8395,0.1424169482669791,0.056257929396397025,71.12500388504853,14.431991395942351,0.10796871742983316
2,50,10074,0.15775436282942598,0.031166999023753698,22.52861776571263,8.871238010396056,0.11344086678721294
2,50,11753,0.18198412265661776,0.032394101387825135,28.913155653468266,12.034637672380214,0.16403246708028682
2,50,13432,0.25645133228473194,0.05730756028709094,55.58078135994325,18.403128288954573,0.208475929807434
