window,rmse,mape,mae,r2,smape,nrmse,variable
12744,44.2,161.325,33.22,0.701,47.552,0.139,PM2.5(t)
12744,92.851,83.522,58.235,0.409,39.888,0.148,PM10(t)
12744,16.335,60.754,11.119,-0.147,38.275,0.19,SO2(t)
12744,26.078,83.453,20.42,0.513,25.791,0.195,NO2(t)
12744,865.651,54.831,610.93,0.523,36.404,0.17,CO(t)
12744,12.807,208.288,9.853,0.606,33.761,0.21,O3(t)
12744,5.861,inf,4.446,-1.243,66.721,0.289,TEMP(t)
12744,7.053,0.48,4.919,-0.662,0.241,0.294,PRES(t)
12744,7.167,inf,5.438,0.309,24.416,0.234,DEWP(t)
12744,0.037,inf,0.003,-0.005,100.0,0.062,RAIN(t)
12744,1.607,inf,1.079,-0.002,31.981,0.211,WSPM(t)
13806,19.631,78.343,15.034,0.849,23.046,0.093,PM2.5(t)
13806,31.749,76.267,23.255,0.679,23.479,0.129,PM10(t)
13806,13.011,58.568,9.483,0.682,20.657,0.102,SO2(t)
13806,17.011,62.496,13.337,0.795,19.042,0.114,NO2(t)
13806,465.738,38.86,336.748,0.799,14.546,0.085,CO(t)
13806,17.554,69.442,12.671,0.64,25.462,0.166,O3(t)
13806,2.41,inf,1.793,0.693,38.594,0.121,TEMP(t)
13806,5.182,0.39,4.008,-0.085,0.196,0.207,PRES(t)
13806,2.195,12.32,1.67,0.777,6.021,0.102,DEWP(t)
13806,0.0,inf,0.0,0.0,100.0,,RAIN(t)
13806,1.141,inf,0.879,0.067,27.976,0.184,WSPM(t)
14868,35.456,42.352,26.777,0.777,19.719,0.109,PM2.5(t)
14868,86.473,40.433,63.296,0.084,27.313,0.234,PM10(t)
14868,16.973,111.727,12.355,0.05,33.488,0.197,SO2(t)
14868,19.385,27.766,14.17,0.68,14.086,0.153,NO2(t)
14868,500.395,31.517,342.937,0.651,15.608,0.161,CO(t)
14868,17.525,101.192,12.864,0.774,23.102,0.13,O3(t)
14868,4.603,inf,3.719,0.101,29.179,0.23,TEMP(t)
14868,4.902,0.37,3.765,0.447,0.185,0.197,PRES(t)
14868,4.666,76.866,3.364,0.543,23.489,0.159,DEWP(t)
14868,0.015,inf,0.012,0.0,100.0,inf,RAIN(t)
14868,1.567,inf,1.201,-0.918,28.381,0.301,WSPM(t)
