variable,rmse,mae,mape,r2,smape,nrmse,rmse_std,mae_std,mape_std,r2_std,smape_std,nrmse_std
NO2.8(t),6632.098,850.378,1725.649,-2187363.633,22.582,64.888,34799.358,3856.343,6462.569,11969104.386,15.255,341.183
CO.8(t),11530.966,2176.074,291.474,-7185.948,21.581,5.684,38941.046,6700.083,819.381,29185.926,8.729,20.677
O3.8(t),9158.85,1137.853,15177.02,-8304871.26,29.491,140.712,48395.092,5742.71,81234.577,45487526.863,12.828,768.731
TEMP.8(t),2159119.173,231531.095,inf,-19277196.997,25.339,161.105,11825135.806,1267597.362,,105573367.764,29.856,867.836
PRES.8(t),1117.279,115.653,11.424,-3225949.186,0.301,83.969,6009.302,599.78,59.254,17668008.642,1.061,455.338
DEWP.8(t),1710.192,188.893,inf,-3934751.505,12.084,95.168,9217.205,996.441,,21548700.167,10.252,514.974
RAIN.8(t),206.295,22.957,,-22595020.394,,,1123.483,123.55,,123757987.227,,
WSPM.8(t),430.109,42.298,inf,-5347938.651,28.158,90.432,2267.008,207.168,,29276798.157,7.857,482.421
PM2.5.9(t),4751.389,602.631,1772.483,-140880.257,25.797,19.343,23044.168,2555.771,6425.222,758197.377,11.406,94.383
PM10.9(t),21771.421,2692.739,2831.849,-3024086.207,24.352,74.105,116071.707,13823.369,13490.019,16551373.267,7.7,394.804
SO2.9(t),1471.592,200.575,8473.895,-6788024.57,35.311,100.033,7010.396,821.171,39493.343,37157163.452,13.114,536.209
NO2.9(t),6490.105,584.453,1105.012,-2322430.501,17.11,47.104,34832.742,2972.384,5289.438,12716802.317,8.913,250.558
CO.9(t),427108.624,50740.6,2175.849,-11296571.225,19.207,152.372,2318821.551,271482.611,10852.927,61865834.766,8.58,828.177
O3.9(t),10556.389,1040.017,16673.695,-19109728.031,32.297,230.699,55481.255,5059.11,86225.474,104668233.109,14.446,1261.847
TEMP.9(t),3476053.236,325404.674,inf,-38125770.275,25.393,252.184,19038172.548,1781634.713,,208808868.311,29.932,1362.268
PRES.9(t),3031.568,347.551,10.746,-231.89,0.331,0.849,16489.718,1868.279,55.424,1271.796,1.134,3.961
DEWP.9(t),1523.491,157.771,inf,-3407064.378,12.312,87.159,8215.633,831.916,,18659379.798,9.821,472.214
RAIN.9(t),395.056,44.162,,-155426464.248,,,2152.866,238.645,,850312852.513,,
WSPM.9(t),527.944,63.709,inf,-10029057.38,24.325,116.473,2816.193,327.131,,54918829.829,5.274,625.904
PM2.5.10(t),17366.53,2086.915,3367.922,-1896456.063,25.826,69.662,93263.797,10848.202,15422.805,10384052.909,9.855,374.56
PM10.10(t),16159.268,2019.052,1926.404,-1422480.498,24.35,64.347,85244.243,10127.588,7948.275,7782321.593,8.196,340.993
SO2.10(t),12595.259,2572.722,18468.375,-21324869.251,31.012,165.624,58541.276,12374.324,70959.26,116789904.085,21.459,895.462
NO2.10(t),20313.593,4609.949,16740.595,-1981041.017,21.296,56.683,76568.618,18652.36,83661.419,10845237.307,21.69,302.043
CO.10(t),52472.127,5851.927,625.937,-203307.875,19.524,22.909,266236.401,25146.13,2188.916,1105010.85,10.129,115.818
O3.10(t),10516.488,1353.71,52687.021,-20382801.056,37.886,221.561,54315.756,6340.056,275016.198,111640342.692,17.762,1208.624
TEMP.10(t),3475677.698,325360.294,inf,-38114397.702,25.747,252.26,19036086.984,1781387.842,,208746012.989,29.565,1362.052
PRES.10(t),3247.318,423.299,18.245,-214.898,0.326,0.82,17674.87,2284.394,96.584,1178.798,1.094,3.79
DEWP.10(t),1671.781,199.967,inf,-4584241.145,12.603,93.608,9011.8,1057.478,,25105954.422,11.472,506.318
RAIN.10(t),151.341,17.531,inf,-20284948.199,98.516,inf,821.471,93.298,,111105197.054,1.976,
WSPM.10(t),1912.925,218.102,inf,-313563895.012,29.716,657.598,10415.028,1175.063,,1717448832.782,7.748,3591.735
PM2.5.11(t),5386.611,617.451,1912.063,-172411.992,27.924,22.682,26446.675,2605.14,6921.728,934692.725,11.681,113.392
PM10.11(t),11683.174,1201.38,2063.007,-890054.419,25.151,50.435,61358.355,5758.621,8803.931,4868550.632,10.779,266.79
SO2.11(t),1982.564,263.444,9579.878,-17522821.926,29.952,152.021,9878.227,1167.75,46022.203,95960463.739,11.821,822.31
NO2.11(t),7342.677,882.45,1489.414,-2852873.48,16.927,57.246,39598.225,4645.447,7069.352,15622733.012,8.193,306.927
CO.11(t),181436.929,21956.397,1921.042,-2221705.893,18.88,66.644,970642.65,113040.936,9056.115,12163283.147,8.322,359.56
O3.11(t),1073.564,160.319,3848.923,-123967.055,30.386,18.952,4234.284,534.872,18571.745,678989.402,13.999,102.608
TEMP.11(t),3476048.891,325403.131,inf,-38125312.036,25.433,251.944,19038173.369,1781635.004,,208808954.799,29.799,1362.308
PRES.11(t),3030.123,347.237,10.717,-200.828,0.325,0.788,16489.957,1868.314,55.422,1103.412,1.104,3.709
DEWP.11(t),1530.579,159.965,inf,-3407256.242,12.617,87.454,8214.745,831.849,,18659343.691,10.701,472.173
RAIN.11(t),395.03,44.144,,-155251136.062,,,2152.87,238.648,,850345425.117,,
WSPM.11(t),525.6,63.465,inf,-10029294.582,26.039,116.622,2816.4,327.119,,54918785.332,9.153,625.891
