variable,rmse,mae,mape,r2,smape,nrmse
SO2.3(t),9.34,6.589,67.168,0.445,23.451,0.149
NO2.3(t),17.313,13.026,34.181,0.317,13.978,0.16
CO.3(t),574.023,372.049,36.5,0.514,14.874,0.147
O3.3(t),29.489,17.047,114.383,0.565,24.8,0.156
TEMP.3(t),186.15,100.533,inf,-4.815,26.014,0.291
PRES.3(t),2830.642,239.205,0.206,0.657,0.115,0.121
DEWP.3(t),3.068,2.47,inf,0.605,17.681,0.151
RAIN.3(t),0.261,0.085,inf,-1.553,98.749,
WSPM.3(t),0.874,0.64,inf,0.382,18.384,0.154
PM2.5.4(t),30.546,21.646,53.102,0.678,20.638,0.133
PM10.4(t),37.21,26.694,48.362,0.616,17.902,0.136
SO2.4(t),10.02,6.832,75.97,-0.682,25.343,0.219
NO2.4(t),210.331,35.88,34.477,0.236,13.884,0.165
CO.4(t),544.163,362.523,39.895,0.509,15.845,0.152
O3.4(t),332.392,59.813,200.148,0.473,29.608,0.168
TEMP.4(t),188.028,99.529,inf,-9.312,26.744,0.349
PRES.4(t),2830.823,239.384,0.223,0.613,0.123,0.129
DEWP.4(t),3.099,2.475,inf,0.586,18.119,0.154
RAIN.4(t),0.262,0.084,inf,-0.957,98.689,
WSPM.4(t),0.83,0.626,inf,0.37,21.728,0.16
PM2.5.5(t),33.192,23.901,60.233,0.632,21.327,0.144
PM10.5(t),46.292,34.013,66.284,0.541,21.039,0.151
SO2.5(t),9.75,6.279,62.068,-0.813,23.472,0.197
NO2.5(t),20.148,15.418,51.724,0.414,18.012,0.175
CO.5(t),536.239,371.553,39.718,0.396,15.969,0.161
O3.5(t),490.448,95.978,118.397,0.515,26.746,0.166
TEMP.5(t),135.194,71.044,inf,-3.207,26.359,0.277
PRES.5(t),2.473,1.946,0.192,0.652,0.096,0.13
DEWP.5(t),3.151,2.527,inf,0.521,17.969,0.161
RAIN.5(t),0.23,0.089,inf,-0.512,98.851,
WSPM.5(t),0.779,0.57,inf,0.332,25.683,0.165
PM2.5.6(t),31.749,22.523,77.092,0.444,25.353,0.169
PM10.6(t),40.789,28.866,72.606,0.459,23.061,0.15
SO2.6(t),7.889,5.361,69.544,0.357,24.778,0.161
NO2.6(t),15.894,12.105,82.121,0.166,24.58,0.193
CO.6(t),468.348,330.493,45.278,0.355,18.241,0.178
O3.6(t),315.343,44.39,155.507,0.418,26.274,0.179
TEMP.6(t),150.12,96.355,inf,-8.632,27.539,0.324
PRES.6(t),2.484,1.968,0.194,0.605,0.097,0.134
DEWP.6(t),3.31,2.68,inf,0.478,18.353,0.162
RAIN.6(t),0.405,0.121,inf,-1.161,98.773,inf
WSPM.6(t),0.931,0.675,inf,0.246,20.335,0.157
PM2.5.7(t),33.205,23.139,60.738,0.648,22.851,0.133
PM10.7(t),40.503,28.591,48.995,0.576,18.611,0.139
SO2.7(t),9.93,6.888,66.056,0.439,23.261,0.146
NO2.7(t),20.231,15.374,40.057,0.382,15.119,0.167
CO.7(t),591.89,386.661,35.963,0.487,15.807,0.157
O3.7(t),207.638,33.105,123.257,0.573,26.159,0.154
TEMP.7(t),189.067,102.106,inf,-10.345,26.424,0.333
PRES.7(t),2830.694,239.252,0.21,0.642,0.117,0.124
DEWP.7(t),3.098,2.483,inf,0.589,17.736,0.154
RAIN.7(t),0.261,0.086,inf,-1.265,98.744,
WSPM.7(t),0.872,0.64,inf,0.38,18.402,0.154
PM2.5.8(t),37.027,25.917,75.961,0.497,24.523,0.157
PM10.8(t),43.294,31.224,76.911,0.467,23.153,0.16
SO2.8(t),9.301,6.326,81.989,0.266,26.009,0.171
NO2.8(t),37.504,31.071,118.385,-21.135,22.081,0.341
CO.8(t),620.655,415.581,44.641,0.36,18.764,0.177
O3.8(t),271.048,54.173,171.056,0.488,28.637,0.176
TEMP.8(t),151.199,79.979,inf,-3.135,26.595,0.254
PRES.8(t),2.542,2.004,0.197,0.643,0.099,0.132
DEWP.8(t),3.226,2.6,inf,0.539,18.248,0.159
RAIN.8(t),0.364,0.099,inf,-0.1,98.785,inf
WSPM.8(t),0.972,0.711,inf,0.284,21.356,0.163
PM2.5.9(t),30.591,21.129,56.75,0.683,20.835,0.129
PM10.9(t),40.961,28.671,52.776,0.538,18.771,0.139
SO2.9(t),9.607,6.509,83.261,0.318,27.805,0.159
NO2.9(t),18.838,14.084,34.963,0.313,14.397,0.172
CO.9(t),555.152,359.275,33.287,0.506,14.438,0.143
O3.9(t),299.555,50.841,146.344,0.569,28.695,0.161
TEMP.9(t),187.709,99.229,inf,-4.262,25.887,0.287
PRES.9(t),2830.657,239.221,0.207,0.655,0.115,0.122
DEWP.9(t),3.143,2.534,inf,0.586,18.203,0.155
RAIN.9(t),0.263,0.089,inf,-1.675,98.694,
WSPM.9(t),0.875,0.644,inf,0.373,18.498,0.154
PM2.5.10(t),31.788,22.244,57.779,0.667,20.774,0.135
PM10.10(t),39.15,28.318,51.322,0.597,18.327,0.144
SO2.10(t),311.222,144.725,304.168,0.367,25.053,0.156
NO2.10(t),1638.367,477.978,210.1,0.363,19.191,0.16
CO.10(t),589.163,399.853,40.856,0.437,16.154,0.159
O3.10(t),418.541,69.003,340.811,-0.157,32.33,0.199
TEMP.10(t),189.826,103.822,inf,-6.119,27.196,0.312
PRES.10(t),2830.851,239.378,0.223,0.61,0.123,0.132
DEWP.10(t),3.216,2.599,inf,0.494,18.228,0.164
RAIN.10(t),0.292,0.09,inf,-0.334,98.548,
WSPM.10(t),0.768,0.584,inf,0.305,23.946,0.166
PM2.5.11(t),33.858,23.581,67.332,0.67,22.872,0.132
PM10.11(t),43.134,30.941,61.303,0.578,19.966,0.141
SO2.11(t),10.158,6.885,67.318,0.337,23.731,0.158
NO2.11(t),19.055,14.339,39.217,0.425,15.155,0.164
CO.11(t),556.633,370.633,36.264,0.522,15.14,0.146
O3.11(t),254.953,36.449,154.151,0.567,27.029,0.159
TEMP.11(t),189.108,102.522,inf,-7.198,26.475,0.328
PRES.11(t),2830.772,239.333,0.218,0.633,0.121,0.127
DEWP.11(t),3.175,2.552,inf,0.575,18.147,0.152
RAIN.11(t),0.295,0.092,inf,-1.232,98.777,
WSPM.11(t),0.835,0.613,inf,0.377,19.138,0.156
