variable,rmse,mae,mape,r2,smape,nrmse,rmse_std,mae_std,mape_std,r2_std,smape_std,nrmse_std
NO2.9(t),18.826,14.037,34.928,0.345,14.513,0.172,9.227,6.588,14.044,0.48,3.612,0.065
CO.9(t),558.616,357.823,33.197,0.484,14.068,0.146,453.418,248.239,15.653,0.272,4.239,0.037
O3.9(t),299.488,50.876,147.076,0.561,28.518,0.161,1509.219,178.794,108.31,0.321,11.229,0.057
TEMP.9(t),188.958,100.581,inf,-7.296,26.192,0.326,703.546,369.053,,30.714,28.734,0.654
PRES.9(t),2830.732,239.271,0.212,0.641,0.118,0.126,15491.072,1299.93,0.204,0.361,0.149,0.068
DEWP.9(t),3.227,2.605,inf,0.556,18.293,0.159,3.216,2.835,,0.42,16.854,0.077
RAIN.9(t),0.261,0.085,inf,-1.243,98.802,,0.56,0.128,,4.952,1.677,
WSPM.9(t),0.868,0.635,inf,0.385,18.22,0.153,0.268,0.171,,0.202,2.915,0.023
PM2.5.10(t),32.406,23.094,61.513,0.65,21.097,0.139,23.665,17.316,32.306,0.262,7.151,0.049
PM10.10(t),38.796,27.936,50.77,0.596,18.388,0.144,21.133,14.296,17.277,0.217,4.959,0.034
SO2.10(t),312.453,148.84,345.655,0.368,24.511,0.156,1165.881,555.545,1134.055,0.376,19.796,0.052
NO2.10(t),1646.677,463.337,193.042,0.393,18.997,0.16,6302.923,1760.774,721.874,0.536,18.128,0.06
CO.10(t),603.042,411.837,41.63,0.409,16.531,0.165,491.811,293.773,22.739,0.397,5.872,0.053
O3.10(t),419.2,69.979,341.732,-0.3,31.629,0.203,1499.223,187.55,812.997,4.652,15.635,0.263
TEMP.10(t),189.127,99.766,inf,-4.697,26.683,0.275,707.096,369.105,,26.035,27.968,0.531
PRES.10(t),2830.865,239.38,0.223,0.612,0.123,0.134,15491.06,1299.895,0.205,0.395,0.149,0.071
DEWP.10(t),3.22,2.598,inf,0.488,18.093,0.164,3.139,2.805,,0.471,17.347,0.08
RAIN.10(t),0.291,0.091,inf,-0.589,98.658,,0.583,0.149,,2.044,1.608,
WSPM.10(t),0.762,0.58,inf,0.317,23.791,0.165,0.181,0.127,,0.226,6.12,0.022
